University,Location
Universidad Nacional de C??rdoba - UNC,"C??rdoba, Argentina"
Universidad de Sevilla,"Seville, Spain"
Universidad Cat??lica Andres Bello,"Guayana City, Venezuela"
Pontificia Universidad Cat??lica de Valpara??so,"Valpara??so, Chile"
Universidade de Bras??lia,"Bras??lia, Brazil"
Universidad de Concepci??n,"Concepci??n, Chile"
Thammasat University,"Bangkok, Thailand"
Bielefeld University,"Bielefeld, Germany"
Ajou University,"Suwon, South Korea"
Bar-Ilan University,"Ramat Gan, Israel"
Central Queensland University (CQUniversity Australia),"Norman Gardens, Australia"
Chonnam National University,"Gwangju, South Korea"
Clarkson University,"Potsdam, United States"
E??tv??s Lor??nd University,"Budapest, Hungary"
Hallym University,"Chuncheon, South Korea"
Instituto Tecnol??gico Aut??nomo de M??xico (ITAM),"Mexico City, Mexico"
International Islamic University Malaysia (IIUM),"Kuala Lumpur, Malaysia"
"Lingnan University, Hong Kong","Hong Kong, Hong Kong SAR"
Auezov South Kazakhstan University (SKU),"Shymkent, Kazakhstan"
Masaryk University,"Brno, Czech Republic"
Middlesex University,"London, United Kingdom"
The National University of Science and Technology MISIS,"Moscow, Russia"
The New School,"New York, United States"
RUDN University,"Moscow, Russia"
Tallinn University of Technology (TalTech),"Tallinn, Estonia"
Universidad de Alcal??,"Alcal?? de Henares, Spain"
Universidad de Montevideo (UM),"Montevideo, Uruguay"
Universidad Torcuato Di Tella,"Buenos Aires, Argentina"
Universit??t Duisburg-Essen,"Duisburg, Germany"
University Duesseldorf,"D??sseldorf, Germany"
Universit?? de Rennes 1,"Rennes, France"
Universit?? de Sherbrooke,"Sherbrooke, Canada"
Universit?? Nice Sophia Antipolis,"Nice, France"
University Paris 2 Panth??on-Assas,France
Universiti Teknologi PETRONAS (UTP),"Seri Iskandar, Malaysia"
The University of Alabama,"Tuscaloosa, United States"
University of Baghdad,"Baghdad, Iraq"
University of Houston,"Houston, United States"
University of Johannesburg,"Johannesburg, South Africa"
University of Ljubljana,"Ljubljana, Slovenia"
University of Mississippi,"Oxford, United States"
University of New Hampshire,"Durham, United States"
University of Portsmouth,"Portsmouth, United Kingdom"
University of Seoul,"Seoul, South Korea"
Ulster University,"Coleraine, United Kingdom"
Ural Federal University - UrFU,"Ekaterinburg, Russia"
Warsaw University of Technology,"Warsaw, Poland"
Worcester Polytechnic Institute,"Worcester, United States"
Al Imam Mohammad Ibn Saud Islamic University,"Riyadh, Saudi Arabia"
Beijing University of Technology,"Beijing, China (Mainland)"
Brigham Young University,"Provo, United States"
Brno University of Technology,"Brno, Czech Republic"
Comenius University in Bratislava,"Bratislava, Slovakia"
Coventry University,"Coventry, United Kingdom"
Technological University Dublin,"Dublin, Ireland"
George Mason University,"Fairfax, United States"
Gifu University,"Gifu City, Japan"
Istanbul Technical University,"Maslak-Istanbul, Turkey"
Jordan University of Science & Technology,"Irbid, Jordan"
Justus-Liebig-University Giessen,"Giessen, Germany"
Kazakh-British Technical University,"Almaty, Kazakhstan"
Kyungpook National University,"Daegu, South Korea"
Lebanese American University,"Byblos, Lebanon"
London Metropolitan University,"London, United Kingdom"
Louisiana State University,"Baton Rouge, United States"
Maynooth University,"Maynooth, Ireland"
Memorial University of Newfoundland,"St. John's, Canada"
National and Kapodistrian University of Athens,"Athens, Greece"
Osaka City University,"Osaka City, Japan"
Osaka Prefecture University,"Osaka City, Japan"
Palack?? University Olomouc,Czech Republic
Rutgers University?€?Newark,"Newark, United States"
"Sofia University ""St. Kliment Ohridski""","Sofia, Bulgaria"
Stevens Institute of Technology,"Hoboken, United States"
Temple University,"Philadelphia, United States"
Universidad Adolfo Ib????ez,"Santiago, Chile"
Universidad An??huac M??xico,"Huixquilucan, Mexico"
Universidad Central de Venezuela,"Caracas, Venezuela"
Universidad de La Sabana,"Bogot??, Colombia"
University of Salamanca,"Salamanca, Spain"
Universidad Iberoamericana IBERO,"Mexico City, Mexico"
Universidade Federal de S??o Carlos (UFSCar),"S??o Paulo, Brazil"
University of Modena and Reggio Emilia,"Modena, Italy"
Universit??t Rostock,"Rostock, Germany"
University at Albany SUNY,"Albany, United States"
University of Calcutta,"Kolkata, India"
University of Crete,"Heraklion, Greece"
University of Debrecen,"Debrecen, Hungary"
University of Denver,"Denver, United States"
University of Haifa,"Haifa, Israel"
University of Kwazulu-Natal,"Pinetown, South Africa"
University of Latvia,"Riga, Latvia"
University of Milano-Bicocca,"Milan, Italy"
University of Patras,"Patras, Greece"
University of Plymouth,"Plymouth, United Kingdom"
University of Sharjah,"Sharjah, United Arab Emirates"
University of Windsor,"Windsor, Canada"
University of Zagreb,"Zagreb, Croatia"
Victoria University,"Melbourne, Australia"
Virginia Commonwealth University,"Richmond, United States"
Yeungnam University,"Gyeongsan, South Korea"
Kasetsart University,"Bangkok, Thailand"
Universidad Nacional de Rosario (UNR),"Rosario, Argentina"
Abu Dhabi University,"Abu Dhabi, United Arab Emirates"
Ain Shams University,"Cairo, Egypt"
Airlangga University,"Surabaya, Indonesia"
Al-Azhar University,"Cairo, Egypt"
Alexandria University,"Alexandria, Egypt"
Alexandru Ioan Cuza University,"Ia??i, Romania"
University of Klagenfurt,"Klagenfurt, Austria"
Ankara ??niversitesi,"Ankara, Turkey"
Aoyama Gakuin University,"Tokyo, Japan"
Athens University of Economics and Business,"Athens, Greece"
Auburn University,"Auburn, United States"
Australian Catholic University,"Melbourne, Australia"
Babes-Bolyai University,"Cluj-Napoca, Romania"
Baku State University,"Baku, Azerbaijan"
Banaras Hindu University,"Varanasi, India"
Baylor University,"Waco, United States"
Beijing Jiaotong University,"Beijing, China (Mainland)"
Belarusian National Technical University (BNTU),"Minsk, Belarus"
Benem??rita Universidad Aut??noma de Puebla,"Puebla, Mexico"
Binghamton University SUNY,"Binghamton, United States"
Bogor Agricultural University,"Bogor, Indonesia"
Budapest University of Technology and Economics,"Budapest, Hungary"
Charles Sturt University,"Thurgoona, Australia"
Chungnam National University,"Daejeon, South Korea"
Clemson University,"Clemson, United States"
Corvinus University of Budapest,"Budapest, Hungary"
Cukurova University,"Adana, Turkey"
Dankook University,"Seoul, South Korea"
De La Salle University,"Manila, Philippines"
Diponegoro University,"Semarang, Indonesia"
Vasyl` Stus Donetsk National University,"Vinnytsia, Ukraine"
Doshisha University,"Kyoto, Japan"
Academician Y.A. Buketov Karaganda University,"Karaganda, Kazakhstan"
Edith Cowan University,"Joondalup, Australia"
Fordham University,"New York City, United States"
Fu Jen Catholic University,"New Taipei City, Taiwan"
Gazi ??niversitesi,"Ankara, Turkey"
Georgia State University,"Atlanta, United States"
Gunma University,"Maebashi, Japan"
Hacettepe University,"Ankara, Turkey"
Instituto Polit??cnico Nacional (IPN),"Ciudad de M??xico, Mexico"
Istanbul University,"Istanbul, Turkey"
Kansas State University,"Manhattan, United States"
Kaunas University of Technology,"Kaunas, Lithuania"
Kazakh Ablai Khan University of International Relations and World Languages,"Almaty, Kazakhstan"
Kent State University,"Kent, United States"
Khazar University,"Baku, Azerbaijan"
Khon Kaen University,"Khon Kaen, Thailand"
King Faisal University,"Hofuf, Saudi Arabia"
King Mongkut's University of Technology Thonburi,"Bangkok, Thailand"
Konkuk University,"Seoul, South Korea"
Kuwait University,"Kuwait City, Kuwait"
Lahore University of Management Sciences (LUMS),"Lahore, Pakistan"
Lobachevsky University,"Nizhny Novgorod, Russia"
University of Lodz,"Lodz, Poland"
Loyola University Chicago,"Chicago, United States"
Makerere University,"Kampala, Uganda"
Manchester Metropolitan University (MMU),"Manchester , United Kingdom"
Marquette University,"Milwaukee, United States"
Miami University,"Oxford, United States"
National Chengchi University,"Taipei City, Taiwan"
"National Technical University  ""Kharkiv Polytechnic Institute""","Kharkiv, Ukraine"
New Jersey Institute of Technology (NJIT),"Newark, United States"
Nicolaus Copernicus University,"Toru??, Poland"
Niigata University,"Niigata City, Japan"
Northumbria University at Newcastle,"Newcastle upon Tyne, United Kingdom"
North-West University,"Potchefstroom, South Africa"
Nottingham Trent University,"Nottingham, United Kingdom"
Novosibirsk State Technical University,"Novosibirsk, Russia"
Ochanomizu University,"Tokyo, Japan"
Ohio University,"Athens, United States"
Oklahoma State University,"Stillwater, United States"
Panjab University,"Chandigarh, India"
Paris Lodron University of Salzburg,"Salzburg , Austria"
Plekhanov Russian University of Economics,"Moscow, Russia"
Pontificia Universidad Cat??lica del Ecuador (PUCE),"Quito, Ecuador"
Pontif??cia Universidade Cat??lica do Rio Grande do Sul (PUCRS),"Porto Alegre, Brazil"
Prince of Songkla University,"Hat Yai, Thailand"
Baku Engineering University,"Baku, Azerbaijan"
Quaid-i-Azam University,"Islamabad, Pakistan"
Ritsumeikan University,"Kyoto, Japan"
Ryerson University,"Toronto, Canada"
Saitama University,"Saitama City, Japan"
San Diego State University,"San Diego , United States"
Seoul National University of Science and Technology,"Seoul, South Korea"
Institut Teknologi Sepuluh Nopember (ITS Surabaya),"Surabaya, Indonesia"
Shahid Beheshti University (SBU),"Tehran, Iran, Islamic Republic of"
Shinshu University,"Matsumoto City, Japan"
Smith College,"Northampton, United States"
Southern Methodist University,"Dallas, United States"
Sumy State University,"Sumy, Ukraine"
Robert Gordon University,"Aberdeen, United Kingdom"
Tokai University,"Hiratsuka City, Japan"
Tokyo University of Science,"Kagurazaka, Japan"
Universidad Austral de Chile,"Valdivia, Chile"
Universidad Aut??noma de Nuevo Le??n,"San Nicol??s de los Garza, Mexico"
Universidad Aut??noma del Estado de M??xico (UAEMex),"Toluca de Lerdo, Mexico"
Universidad Aut??noma Metropolitana (UAM),"Mexico City, Mexico"
Universidad de Castilla-La Mancha,"Ciudad Real, Spain"
Universidad de Guadalajara (UDG),"Guadalajara, Mexico"
Universidad de La Habana,"Havana, Cuba"
Universidad de la Rep??blica (Udelar),"Montevideo, Uruguay"
Universidad de las Am??ricas Puebla (UDLAP),"Cholula, Mexico"
Universidad de Los Andes - (ULA) M??rida,"Merida, Venezuela"
Universidad de Monterrey (UDEM),"San Pedro Garza Garc??a, Mexico"
University of Murcia,"Murcia, Spain"
Universidad de Puerto Rico,"San Juan, Puerto Rico"
Universidad San Francisco de Quito (USFQ),"Quito, Ecuador"
Universidad de Talca,"Talca, Chile"
Universidad de Valpara??so (UV),"Valpara??so, Chile"
Universidad del Norte,"Barranquilla, Colombia"
Universidad del Rosario,"Bogot??, Colombia"
Universidad del Valle,"Cali, Colombia"
Universidad Diego Portales (UDP),"Santiago, Chile"
Universidad Industrial de Santander - UIS,"Bucaramanga, Colombia"
"ULACIT - Universidad Latinoamericana de Ciencia y Tecnolog??a, Costa Rica","San Jos??, Costa Rica"
Universidad Metropolitana,"Caracas, Venezuela"
Universidad Nacional Costa Rica,"Heredia, Costa Rica"
Universidad Nacional de Cuyo,"Mendoza, Argentina"
Universidad Nacional de Mar del Plata,"Mar del Plata, Argentina"
Universidad Nacional de Tucum????n,"San Miguel de Tucum??n, Argentina"
Universidad Nacional del Sur,"Bahia Blanca, Argentina"
Universidad Nacional Mayor de San Marcos,"Lima, Peru"
Universidad Panamericana (UP),"Mexico City, Mexico"
Universidad Peruana Cayetano Heredia (UPCH),"San Martin, Peru"
Universidad Rey Juan Carlos,"Madrid, Spain"
Universidad Sim??n Bol??var (USB),"Caracas, Venezuela"
Universidad T??cnica Federico Santa Mar??a (USM),"Valpara??so, Chile"
Universidad Tecnol??gica Nacional (UTN),"Buenos Aires, Argentina"
Universidade Cat??lica Portuguesa - UCP,"Lisbon, Portugal"
Universidade da Coru??a,"A Coru??a, Spain"
Universidade do Estado do Rio de Janeiro (UERJ),"Rio de Janeiro, Brazil"
Universidade Estadual de Londrina,"Londrina, Brazil"
Universidade Federal da Bahia,"Salvador, Brazil"
Universidade Federal de Santa Catarina,"Florian??polis, Brazil"
Universidade Federal de Santa Maria,"Frederico Westphalen, Brazil"
Universidade Federal de Vi??osa (UFV),"Vi??osa, Brazil"
Universidade Federal do Cear?? (UFC),"Fortaleza, Brazil"
Universidade Federal do Paran?? - UFPR,"Curitiba, Brazil"
Universidade Federal de Pernambuco (UFPE),"Recife, Brazil"
Universidade Federal Fluminense,"Rio de Janeiro, Brazil"
Ca' Foscari University of Venice,"Venice, Italy"
Catania University,"Catania, Italy"
Universita' degli Studi di Ferrara,"Ferrara, Italy"
University of Genoa,"Genoa, Italy"
Universit?? degli Studi di Perugia,"Perugia, Italy"
University of Siena,"Siena, Italy"
University of Trieste,"Trieste, Italy"
Universit?? degli studi Roma Tre,"Rome, Italy"
University of Palermo,"Palermo, Italy"
Universitas Muhammadiyah Surakarta,"Surakarta, Indonesia"
Universit?? Charles-de-Gaulle Lille 3,France
Universit?? de Caen Normandie,"Caen, France"
Universit?? de Cergy-Pontoise,"Cergy, France"
Universit?? de Lorraine,"Nancy, France"
Universit?? de Nantes,"Nantes, France"
Universit?? de Poitiers,"Poitiers, France"
Universit?? Jean Moulin Lyon 3,"Lyon, France"
Universit?? Lille 2 Droit et Sant??,"Lille, France"
Universit?? Lumi??re Lyon 2,"Lyon, France"
Universit?? Paris-Nanterre,"Paris, France"
Paul Val??ry University Montpellier,"Montpellier, France"
Universit?? Toulouse 1 Capitole,"Toulouse, France"
Universiti Teknologi MARA - UiTM,"Shah Alam, Malaysia"
Universiti Utara Malaysia (UUM),"Sintok, Malaysia"
University of Bahrain,"Zallaq, Bahrain"
University of Bari,"Bari, Italy"
University of Belgrade,"Belgrade, Serbia"
Universitas Brawijaya,"Malang , Indonesia"
University of Brescia,"Brescia, Italy"
University of Bucharest,"Bucharest, Romania"
University of Central Florida,"Orlando, United States"
University of Central Lancashire,"Preston, United Kingdom"
University of Colombo,"Horana, Sri Lanka"
University of Dhaka,"Dhaka, Bangladesh"
University of East London,"London, United Kingdom"
University of Engineering & Technology (UET) Lahore,"Lahore, Pakistan"
